City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
106,mormugao,15.4081535,73.7929825,75.63,68,100,11.88,IN,1675785659
107,butaritari,2.9205375,172.91886331442205,81.21,79,100,23.11,KI,1675785660
108,amderma,69.7522076,61.662267280204404,8.55,90,100,29.19,RU,1675785660
109,awbari,26.5909391,12.7695658,68.97,24,100,13.71,LY,1675785661
110,aksarka,66.5582332,67.8051987,-5.04,96,82,11.27,RU,1675785662
111,jiuquan,39.7321262,98.4936839,27.32,49,97,4.94,CN,1675785665
112,elk point,42.6860746,-96.6827096,31.91,88,5,6.91,US,1675785673
113,provideniya,64.4237364,-173.2273726,-17.18,90,75,3.4,RU,1675785684
114,maniitsoq,65.4175454,-52.8967885,0.86,93,98,6.4,GL,1675785689
115,fairbanks,64.837845,-147.716675,3.6,80,100,3.44,US,1675785588
116,norman wells,65.282401,-126.832725,-12.96,77,100,0.0,CA,1675785701
117,yaan,7.383333,8.566667,99.77,8,84,6.4,NG,1675785702
118,uruguaiana,-29.7560726,-57.0867546,96.73,32,20,4.61,BR,1675785703
119,port pirie,-33.1791249,138.0058614,76.77,30,0,8.41,AU,1675785704
120,klaksvik,62.2266084,-6.5852705,45.64,79,80,42.01,FO,1675785705
121,ngama,4.1936854,11.1979507,96.21,19,11,1.45,CM,1675785705
122,vostok,-10.0620702,-152.31258164405466,81.03,73,5,13.47,KI,1675785706
123,arganil,40.2202451,-7.980700223101081,51.01,42,4,0.83,PT,1675785707
124,rosetta,31.404444,30.416389,56.39,49,97,20.15,EG,1675785708
125,sakakah,29.9784008,40.2047701,58.57,35,8,13.58,SA,1675785709
126,saint-philippe,45.3584499,-73.4790045,21.25,67,82,5.75,CA,1675785710
127,pandan,-3.2873871,104.1929841,75.34,95,100,1.19,ID,1675785710
128,batemans bay,-35.7072183,150.178289,66.18,92,100,4.45,AU,1675785715
129,kaitangata,-46.2817388,169.8464139,49.75,67,7,7.52,NZ,1675785717
130,palabuhanratu,-6.9882409,106.5503728,78.93,81,100,3.53,ID,1675785718
131,kurilsk,45.2290413,147.8751845,20.19,68,93,7.94,RU,1675785718
132,new norfolk,-42.7801998,147.0615332,56.93,60,46,2.24,AU,1675785719
133,mathathane,-22.268936,28.750023,91.33,26,71,7.07,BW,1675785722
134,port augusta,-32.4908819,137.7639874,76.19,30,0,5.17,AU,1675785727
135,bisalpur,26.2318384,73.3140849,68.27,22,3,4.18,IN,1675785730
136,cape town,-33.928992,18.417396,77.88,75,20,20.71,ZA,1675785744
137,murgab,38.1709568,73.9668836,-16.47,82,4,3.98,TJ,1675785746
138,daru,-9.069901,143.210029,76.3,93,100,11.63,PG,1675785755
139,north bend,47.4957757,-121.784889,47.1,96,100,5.01,US,1675785760
140,usinsk,65.995731,57.5571267,4.66,94,100,24.45,RU,1675785763
141,ayni,39.3933752,68.5375462,19.08,43,1,8.7,TJ,1675785763
142,ondorhaan,47.3256114,110.6649133,-4.77,91,4,5.37,MN,1675785767
143,severo-kurilsk,50.6683048,156.1154399,22.53,66,77,14.5,RU,1675785768
144,belyy yar,53.596436,91.382362,1.81,87,100,2.24,RU,1675785771
145,marcona,-15.2155331,-75.08303444567473,76.33,59,25,10.58,PE,1675785771
146,visby,57.6379361,18.297982,34.59,93,0,12.66,SE,1675785772
147,tongliao,43.6165326,122.2601837,15.84,44,0,6.93,CN,1675785773
148,dudinka,69.406067,86.175072,-10.37,100,94,3.2,RU,1675785774
149,chuy,-33.6937948,-53.4561114,85.21,40,3,6.62,UY,1675785775
150,georgetown,6.8137426,-58.1624465,84.49,70,20,16.11,GY,1675785776
151,sylacauga,33.1731716,-86.2516406,62.64,42,100,0.0,US,1675785748
152,offenburg,48.4716556,7.944378,40.64,63,0,9.22,DE,1675785777
153,kargasok,59.0598053,80.8708719,5.5,97,97,6.29,RU,1675785778
154,goleta,34.4358295,-119.8276389,59.38,50,0,3.0,US,1675785778
155,faanui,-16.48243875,-151.73383197031578,78.67,79,29,11.81,FR,1675785779
156,san quintin,30.5613719,-115.938162,58.62,36,0,2.33,MX,1675785780
157,pallasovka,50.045901,46.8896382,14.9,89,30,18.28,RU,1675785780
158,tasiilaq,65.6152573,-37.6378149,5.5,59,61,14.61,GL,1675785781
159,san patricio,27.9695325,-97.7731720386266,76.98,78,100,17.63,US,1675785785
160,nishihara,26.227791,127.76054,67.82,79,75,11.5,JP,1675785790
161,dandong,40.128668,124.3863404,28.56,43,21,7.02,CN,1675785793
162,kushiro,42.9849503,144.3820491,18.61,95,45,6.73,JP,1675785796
163,hobart,-42.8825088,147.3281233,57.0,65,100,10.36,AU,1675785771
164,bilibino,68.0550305,166.4448515,-37.39,100,100,0.43,RU,1675785800
165,manaure,11.7771128,-72.4469366,85.5,53,21,22.5,CO,1675785802
166,banamba,13.5485166,-7.446532,97.52,8,98,6.35,ML,1675785804
167,monte patria,-30.6944769,-70.9579593,84.51,45,0,7.31,CL,1675785809
168,lanigan,51.8457609,-105.033137,30.11,87,75,8.86,CA,1675785812
169,salalah,17.0174945,54.1010923,77.07,61,0,4.61,OM,1675785814
170,lompoc,34.6391501,-120.4579409,43.59,75,0,4.61,US,1675785815
171,vigrestad,58.5712263,5.6897326,45.23,93,100,3.04,NO,1675785815
172,saskylakh,71.9649533,114.0939433,-31.07,99,100,2.44,RU,1675785816
173,sept-iles,50.2109579,-66.3790642,15.96,78,20,8.05,CA,1675785817
174,punta alta,-38.8804693,-62.0744033,91.56,42,0,2.3,AR,1675785818
175,souillac,44.8980172,1.46943,51.12,67,20,6.85,FR,1675785819
176,canosa di puglia,41.219631,16.067466,42.58,52,58,11.72,IT,1675785820
177,saldanha,-32.9977778,17.9455556,75.47,86,100,23.71,ZA,1675785821
178,malanje,-9.5483991,16.3475335,73.67,68,86,5.84,AO,1675785822
179,jizan,16.894719,42.5579758,84.2,70,40,14.97,SA,1675785822
180,jonesboro,35.8272257,-90.6949871,55.26,78,97,11.05,US,1675785823
181,mehamn,71.0389923,27.8517589,35.55,87,40,44.87,NO,1675785824
182,batie,45.0628357,5.8195294,37.35,57,0,3.85,FR,1675785824
183,jaicos,-7.3584791,-41.1446059,89.26,41,99,4.52,BR,1675785825
184,namibe,-15.195064,12.1458085,74.14,69,100,12.3,AO,1675785825
185,juneau,58.3019496,-134.419734,36.21,94,75,10.36,US,1675785826
186,port lincoln,-34.7211905,135.8592218,64.0,81,0,13.62,AU,1675785827
187,gigmoto,13.7786693,124.3911728,78.08,81,100,8.99,PH,1675785828
188,anadyr,64.7316875,177.5060925,-18.53,69,40,11.18,RU,1675785828
189,stephenville,32.2191836,-98.2130634,62.83,95,100,10.36,US,1675785829
190,necochea,-38.5545494,-58.7392624,83.7,47,21,10.85,AR,1675785829
191,ribeira grande,37.8225227,-25.5194914,57.54,77,40,23.02,PT,1675785830
192,jurm,36.864768,70.834207,25.03,51,0,7.07,AF,1675785661
193,praya,14.9162811,-23.5095095,75.78,46,40,26.46,CV,1675785831
194,arua,44.0603921,-0.3508658,47.86,76,98,14.41,FR,1675785831
195,port moresby,-9.4743301,147.1599504,74.35,100,40,6.91,PG,1675785832
196,landskrona,55.8698007,12.8296734,36.01,83,27,9.31,SE,1675785833
197,hamilton,43.2560802,-79.8728583,40.75,72,100,14.97,CA,1675785369
198,belushya guba,71.5376984,52.3427343,32.18,99,100,20.42,RU,1675785834
199,san policarpo,12.1805518,125.5074292,78.75,80,100,10.87,PH,1675785834
200,iqaluit,63.74944,-68.521857,-31.05,66,40,2.3,CA,1675785835
201,henties bay,-22.1130313,14.2881683522115,68.07,79,63,10.22,NA,1675785835
202,la ronge,55.1005283,-105.2900485,12.38,85,75,5.75,CA,1675785836
203,kurumkan,54.326336,110.323257,-5.26,93,25,5.06,RU,1675785837
204,bethel,60.7922222,-161.7558333,1.74,85,100,12.66,US,1675785837
205,chumikan,54.7171986,135.3172842,-22.88,87,28,7.92,RU,1675785838
206,scottsbluff,41.862302,-103.6627088,37.78,67,0,10.0,US,1675785838
207,voskresenskoye,56.8383333,45.4330556,12.79,97,99,2.86,RU,1675785839
208,hithadhoo,1.7959425,73.38755195657038,81.28,75,100,10.45,MV,1675785840
209,fort nelson,58.8062066,-122.6942704,6.98,93,20,3.0,CA,1675785840
210,greenville,34.851354,-82.3984882,59.11,52,0,8.05,US,1675785273
211,russell,38.895289,-98.859806,40.69,70,0,10.36,US,1675785841
212,ponta delgada,37.7394344,-25.6683618,57.92,77,40,23.02,PT,1675785843
213,champasak,14.8872885,105.8765804,77.97,52,8,1.52,LA,1675785845
214,saint-pierre,48.3832725,7.4718731,40.71,54,3,5.26,FR,1675785849
215,bo rai,12.5761682,102.5388474,74.97,93,55,2.13,TH,1675785858
216,havre-saint-pierre,50.2463647,-63.6003951,6.75,60,0,6.91,CA,1675785859
217,acapulco,16.8680495,-99.8940182,81.88,57,0,4.61,MX,1675785861
218,laguna,-28.4837443,-48.7816572,80.35,64,0,10.04,BR,1675785862
219,victoria,48.4283182,-123.3649533,46.83,93,100,10.0,CA,1675785864
220,cozumel,20.5014305,-86.9435851,82.45,75,75,17.27,MX,1675785865
221,meulaboh,4.1481951,96.1339107,77.77,80,94,3.27,ID,1675785866
222,labuhan,-6.891973,112.9897177,77.88,89,100,9.46,ID,1675785867
223,kamloops,50.6758269,-120.339415,37.29,75,75,3.44,CA,1675785869
224,harer,9.3118397,42.1284445,66.7,31,55,15.03,ET,1675785870
225,ixtapa,16.8032586,-92.9053697,67.6,48,0,3.56,MX,1675785871
226,upernavik,72.7847392,-56.1469625,-14.3,94,99,7.18,GL,1675785872
227,maraba,-5.3462821,-49.1007401,84.4,84,75,2.3,BR,1675785873
228,koumra,8.9189081,17.5478111,99.23,7,14,6.24,TD,1675785874
229,khandyga,62.6477939,135.5750942,-46.53,100,99,2.42,RU,1675785876
230,egvekinot,66.3227382,-179.120131,-18.26,88,97,8.12,RU,1675785877
231,macas,-2.3046252,-78.1175466,76.39,64,40,4.61,EC,1675785878
232,den helder,52.9529894,4.8267592494488,42.98,80,1,3.44,NL,1675785878
233,tuktoyaktuk,69.4440189,-133.031904,-29.2,68,75,0.0,CA,1675785879
234,samusu,-13.9974088,-171.4288872,81.18,80,90,10.31,WS,1675785880
235,antalaha,-14.9012302,50.2810433,76.53,90,100,7.25,MG,1675785880
236,geraldton,-28.77035,114.6147159,71.76,83,40,13.8,AU,1675785881
237,leningradskiy,54.129108,79.236702,-6.9,100,93,5.39,RU,1675785881
238,achinsk,56.2694846,90.4953964,14.94,95,100,6.35,RU,1675785882
239,yumen,40.2916528,97.0448526,27.9,50,100,4.63,CN,1675785883
240,issoire,45.5432973,3.2502213,45.61,59,5,6.2,FR,1675785884
241,majalgaon,29.5302074,79.408772,53.33,53,0,2.42,IN,1675785884
242,bredasdorp,-34.533055,20.042778,72.54,63,100,12.06,ZA,1675785885
243,kahului,20.8894101,-156.4727118,74.75,83,0,15.01,US,1675785831
244,gouyave,12.1665178,-61.7297144,81.37,78,75,13.8,GD,1675785886
245,panama city,30.1600827,-85.6545729,68.04,73,69,5.99,US,1675785726
246,kisangani,0.5184021,25.2057292,89.28,37,73,1.16,CD,1675785887
247,itarema,-2.9224684,-39.9152184,84.13,67,100,12.01,BR,1675785888
248,santa isabel do rio negro,-0.4160389,-65.0153096,84.0,75,59,3.58,BR,1675785888
249,tambovka,41.483284,43.8060028,11.95,96,100,3.78,GE,1675785889
250,belmonte,39.5592831,-2.7038117,44.55,65,99,13.02,ES,1675785889
251,skowhegan,44.765262,-69.719238,24.58,57,1,4.65,US,1675785890
252,altstatten,47.3782189,9.5413964,35.15,84,0,4.61,CH,1675785891
253,prince rupert,54.3126572,-130.32549,36.84,86,75,12.66,CA,1675785891
254,carlagan,14.9763896,122.0433117,77.07,88,82,7.34,PH,1675785892
255,waki,34.2024049,132.2205023,44.55,81,40,5.75,JP,1675785892
256,omaha,41.2587459,-95.9383758,37.69,65,0,13.8,US,1675785493
257,dickinson,46.8791756,-102.7896242,34.41,75,0,18.41,US,1675785893
258,ornskoldsvik,63.2888613,18.7160209,29.53,93,0,6.91,SE,1675785894
259,nizhneyansk,71.440445,136.130646,-35.52,100,98,5.91,RU,1675785894
260,tsihombe,-25.318547,45.484057,74.7,83,100,6.22,MG,1675785895
261,sabla,43.60574975,28.509791183980244,29.64,75,81,16.17,BG,1675785895
262,brae,60.3963461,-1.3536585,44.26,70,8,21.63,GB,1675785896
263,parksville,49.3179514,-124.3117397,46.81,99,100,26.46,CA,1675785897
264,general pico,-35.6591085,-63.7576103,96.55,18,0,6.31,AR,1675785897
265,saint george,12.0535331,-61.751805,81.48,78,75,13.8,GD,1675785898
266,talnakh,69.4939889,88.3907607,-6.68,97,98,6.15,RU,1675785898
267,zhigansk,66.76564,123.3741,-51.86,100,94,2.06,RU,1675785899
268,bairiki,1.3296193,172.9777542,82.42,83,20,13.8,KI,1675785900
269,taoudenni,22.6762333,-3.9805269,80.91,13,75,9.84,ML,1675785900
270,akkermanovka,51.1885111,58.2163661,1.29,100,53,4.45,RU,1675785901
271,havelock,34.8785,-76.9014457,57.18,65,0,3.44,US,1675785902
